"","Kernel","Cox"
"bias","-0.004","0.018"
"MSE","0.241","0.010"
"SE","0.172","0.067"
"RB","-0.847","3.689"
"ABSE","0.130","0.077"
"ACI.coverage","96.863","86.084"
"EMP.IQR","0.141","0.085"
"Boot.IQR","0.162","0.102"
