"","Kernel","Cox"
"bias","0.042","0.037"
"MSE","0.037","0.007"
"SE","0.111","0.040"
"RB","8.326","7.357"
"ABSE","0.115","0.054"
"ACI.coverage","96.431","80.769"
"EMP.IQR","0.119","0.054"
"Boot.IQR","0.142","0.073"
