"","Kernel","Cox"
"bias","0.017","0.024"
"MSE","0.010","0.005"
"SE","0.080","0.028"
"RB","3.398","4.871"
"ABSE","0.107","0.051"
"ACI.coverage","86.863","76.275"
"EMP.IQR","0.089","0.031"
"Boot.IQR","0.149","0.078"
