"","Kernel","Cox"
"bias","-0.017","-0.061"
"MSE","0.206","0.014"
"SE","0.133","0.040"
"RB","-3.398","-12.181"
"ABSE","0.086","0.040"
"ACI.coverage","93.375","41.616"
"EMP.IQR","0.097","0.053"
"Boot.IQR","0.105","0.054"
