"","Kernel","Cox"
"bias","-0.033","-0.036"
"MSE","0.016","0.014"
"SE","0.102","0.063"
"RB","-6.644","-7.157"
"ABSE","0.109","0.064"
"ACI.coverage","92.776","71.667"
"EMP.IQR","0.126","0.083"
"Boot.IQR","0.134","0.086"
