"","Kernel","Cox"
"bias","0.018","0.017"
"MSE","0.003","0.001"
"SE","0.046","0.025"
"RB","3.641","3.324"
"ABSE","0.054","0.025"
"ACI.coverage","94.875","80.029"
"EMP.IQR","0.059","0.034"
"Boot.IQR","0.066","0.034"
