"","Kernel","Cox"
"bias","-0.111","-0.099"
"MSE","0.644","0.021"
"SE","0.234","0.055"
"RB","-22.197","-19.838"
"ABSE","0.179","0.054"
"ACI.coverage","71.396","49.996"
"EMP.IQR","0.110","0.074"
"Boot.IQR","0.117","0.073"
