"","Kernel","Cox"
"bias","0.021","0.020"
"MSE","0.004","0.002"
"SE","0.040","0.020"
"RB","4.211","3.960"
"ABSE","0.043","0.020"
"ACI.coverage","92.765","60.069"
"EMP.IQR","0.047","0.026"
"Boot.IQR","0.053","0.027"
