"time","mean.HR","SE.HR","median.HR","X0.","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90.","X100.","X0..1","X25.","X50..1","X75.","X100..1","X2.5.","X7.5.","true.hr"
0,0.698838608035943,0.0393372861990201,0.696408002620761,0.58885216312986,0.650339078641538,0.665416467081289,0.677196400343325,0.685736711071501,0.696408002620761,0.706896986632123,0.718204470720308,0.731334949785841,0.749292780286456,0.837075255635273,0.58885216312986,0.67145391219426,0.696408002620761,0.724781793223542,0.837075255635273,0.631054116134331,0.64502590992424,0.5
0.2,0.679160002172877,0.0414271526372415,0.675569822448445,0.561392243823867,0.628935858519642,0.643356977854563,0.656523202336059,0.66523497005003,0.675569822448445,0.687007033731134,0.699811045513837,0.713740200839754,0.73371457252515,0.825055780955172,0.561392243823867,0.650842437726339,0.675569822448445,0.70613971015002,0.825055780955172,0.606005641954384,0.622980659348911,0.5
0.4,0.661637802421765,0.0431887095625338,0.6578320174654,0.540707908599177,0.608458379934905,0.624123026837845,0.637562614257489,0.6464195874855,0.6578320174654,0.669853086724001,0.683156460061775,0.697507655796916,0.717398474864368,0.814147908014702,0.540707908599177,0.632684898375602,0.6578320174654,0.690643412374033,0.814147908014702,0.58553951781943,0.603503259820938,0.5
0.6,0.645941907253317,0.0447171539423786,0.642318815009469,0.523078330391824,0.591193954493439,0.607036911075481,0.621026696886615,0.630117546484025,0.642318815009469,0.65475497967295,0.668097776038553,0.682865307772376,0.704054593594118,0.804559502444668,0.523078330391824,0.615726865021146,0.642318815009469,0.675347669838652,0.804559502444668,0.567830854258214,0.586460456336147,0.5
0.8,0.631635473306439,0.0460101364562678,0.627298778524547,0.507522634400942,0.575075056686776,0.591796448323332,0.605955372422108,0.615625180913554,0.627298778524547,0.640593192368002,0.653873803266792,0.669868149141367,0.690599823113899,0.795765549097626,0.507522634400942,0.599835067063361,0.627298778524547,0.662730302834946,0.795765549097626,0.550554307136612,0.570010869886758,0.5
1,0.618505772895816,0.0470729312036371,0.613777714335708,0.490166433404096,0.561692092238368,0.577448594580847,0.591840608728967,0.602039778614291,0.613777714335708,0.627708367442781,0.641294620301199,0.658295552717138,0.679560169633122,0.787850649298554,0.490166433404096,0.585712422482034,0.613777714335708,0.650026549135121,0.787850649298554,0.536671378795201,0.555495757038322,0.5
1.2,0.606482631555509,0.048003681015502,0.602025647544988,0.471058915103959,0.547143701217644,0.565018538502791,0.579676668240576,0.589582055851712,0.602025647544988,0.615913790715327,0.629645521043484,0.646427055702477,0.668650121746286,0.780253452779831,0.471058915103959,0.573660478963041,0.602025647544988,0.638132532590819,0.780253452779831,0.523669693775208,0.5417788105149,0.5
1.4,0.595261029090131,0.0489405155723716,0.590733139552342,0.457633704865936,0.53467548591651,0.553009761173104,0.568378343721692,0.578082189082537,0.590733139552342,0.604500917375535,0.618918766967284,0.636183672852494,0.658659555883775,0.772403891305561,0.457633704865936,0.561255385840286,0.590733139552342,0.627394547899377,0.772403891305561,0.510455445685478,0.529513538153602,0.5
1.6,0.584874341737393,0.0497785894492708,0.579589514466536,0.444569679484565,0.524079747065431,0.542246403470063,0.557116323289939,0.567578058695875,0.579589514466536,0.594263862773102,0.609086413329865,0.626737272089336,0.649427259588817,0.766648914112297,0.444569679484565,0.550334565942899,0.579589514466536,0.616466102709014,0.766648914112297,0.498768383940388,0.517464169901737,0.5
1.8,0.575151362611284,0.0505713779936283,0.570246341640768,0.43696740095785,0.512942784752024,0.53171414080468,0.547294769089832,0.557910275104551,0.570246341640768,0.584939491542724,0.599244126579191,0.616786314842737,0.639723234888339,0.760972736545906,0.43696740095785,0.539733645987256,0.570246341640768,0.607884362390825,0.760972736545906,0.488318694232865,0.506377720712515,0.5
2,0.566004938985773,0.0512104205880652,0.561091662290704,0.425940444638432,0.503330025232184,0.52243112171096,0.538488153303582,0.548261190707419,0.561091662290704,0.575326915854943,0.59060058068628,0.607851526384723,0.632127767175356,0.75313886949389,0.425940444638432,0.530267547139303,0.561091662290704,0.598655904308755,0.75313886949389,0.476786849955566,0.496119184112906,0.5
