"","Kernel","Cox"
"bias","0.007","0.001"
"MSE","0.541","0.004"
"SE","0.194","0.057"
"RB","1.321","0.237"
"ABSE","0.110","0.056"
"ACI.coverage","95.341","92.400"
"EMP.IQR","0.124","0.075"
"Boot.IQR","0.133","0.076"
