"","Kernel","Cox"
"bias","0.019","0.004"
"MSE","0.125","0.003"
"SE","0.142","0.051"
"ABSE","0.125","0.055"
"ACI.coverage","95.888","96.259"
"EMP.IQR","0.112","0.070"
"Boot.IQR","0.131","0.072"
