"time","mean.kernel","mean.cox","true.HR","SE.kernel","SE.cox","bias.kernel","bias.cox","MSE.cox","MSE.kernel","ABSE","CI.coverage.percent","mean.cIL.kernel","mean.cIU.kernel","mean.B.q1.kernel","mean.B.q3.kernel","mean.q1.kernel","mean.q3.kernel","cox.ABSE","cox.CI.coverage.percent","mean.cIL.cox","mean.cIU.cox","mean.B.q1.cox","mean.B.q3.cox","IQR.simulations.cox","IQR.boot.cox","IQR.simulations.kernel","IQR.boot.kernel"
0.00767986257132241,0.504091208727995,0.501616056325544,0.499573522954422,0.0985750221895503,0.0382025957328241,0.00451768577357309,0.00204253337112209,0.00146069013484216,0.00971797053098156,0.136947313076752,97.2,0.309384707915758,0.790452472693806,0.439468867344496,0.573236613239458,0.475745021357319,0.527051446242931,0.0370994968259317,94.3,0.431578350631402,0.578009212887045,0.476140274578952,0.52627209897433,0.0513064248856116,0.0501318243953779,0.116263893136742,0.133767745894962
0.0826685953381255,0.498216730014629,0.497480967546637,0.495428328715726,0.07396039466743,0.0383371134873692,0.00278840129890368,0.00205263883091183,0.00147100685558746,0.00546697804314323,0.0810658374021169,96,0.360400300025656,0.681276082171138,0.447786868981108,0.553824312413005,0.471503048648621,0.522626109591731,0.0372103052673307,94,0.427312301469127,0.574165348192736,0.471939777712014,0.522219259879024,0.0511230609431105,0.0502794821670104,0.0944288114230952,0.106037443431897
0.157657328104929,0.493796932551164,0.493371532783853,0.491317529084604,0.0635094706507884,0.0384489325152332,0.00247940346655995,0.00205400369924863,0.00147958144090502,0.00403153531571528,0.066884624380894,95.9,0.377366693807782,0.641462080451842,0.451207214779275,0.54047428873906,0.467476402785085,0.518430732184786,0.0373201269716892,93.9,0.423084980894006,0.570348563284687,0.467759589433331,0.518187131582098,0.050954329399701,0.0504275421487676,0.0863139710946774,0.089267073959785
0.232646060871732,0.489732432663099,0.489316137691629,0.487240838672975,0.0572205628579895,0.0385642071107213,0.00249159399012372,0.00207529901865361,0.00148852920881654,0.00327385280877418,0.0589204658341421,95.8,0.385516291798425,0.618268584573542,0.451797171138828,0.530764286761845,0.462762381106254,0.514593299743976,0.0374285532060856,93.9,0.418907475777075,0.56659684207402,0.463646139523653,0.514201139112211,0.0518309186377222,0.0505549995885579,0.0793117639584571,0.0789671156230168
0.307634793638535,0.485666607054454,0.485311653958035,0.483197974460757,0.0527756074304636,0.0386742224126537,0.00246863259369767,0.00211367949727886,0.00149717025450689,0.00278578783396345,0.0534303500435414,95.8,0.390156095062616,0.601065323553714,0.450905710092434,0.522574023357998,0.458996869259995,0.511069375629717,0.0375340778045546,94,0.414793662017597,0.562896738220002,0.459577856601298,0.510263957823027,0.0520725063697224,0.0506861012217296,0.0731054622666047,0.071668313265564
0.382623526405338,0.481633150018087,0.481328357067764,0.479188655776213,0.0496072153130085,0.0387870819617631,0.00244449424187337,0.00213970129155044,0.00150600560539309,0.00246192855883979,0.0495682793321857,95.4,0.392232883640373,0.588180658522926,0.449160470925964,0.515627228211995,0.455008670664704,0.506821649358586,0.0376386589531576,94,0.410703146063284,0.559184060132015,0.455516599426694,0.506339934703467,0.0518129786938825,0.0508233352767732,0.0681506692758487,0.0664667572860301
0.457612259172141,0.47762178909374,0.477364218908101,0.475212604276476,0.0472994075390751,0.0388815387269965,0.00240918481726421,0.00215161463162505,0.00151337834690127,0.00223856232874896,0.0470766264310565,95.2,0.392429277355272,0.578432534141397,0.446638183114135,0.509719265649691,0.451134947346414,0.502525862956181,0.0377434635996636,94.1,0.406617216160488,0.555493688588667,0.451482133666082,0.502434551565088,0.0513909156097673,0.0509524178990059,0.063880508987987,0.0630810825355561
0.532600991938944,0.473621396670073,0.473446930794617,0.471269543928215,0.0457511424216047,0.0389963559983767,0.00235185274185795,0.00217738686640212,0.00152241366527169,0.00209451056660186,0.0457664415746885,94.8,0.390609527867414,0.571625962803347,0.443517841621221,0.504696325347907,0.446905903169496,0.498316057138053,0.037845736831905,94.1,0.402568311658984,0.551828615128654,0.447495945770565,0.498613475657627,0.0514101539685569,0.0511175298870618,0.0620430644385648,0.0611784837266866
0.607589724705747,0.469679029699445,0.469530780697119,0.467359200988479,0.0448675790430415,0.0390526801256178,0.00231982871096664,0.00217157970864035,0.00152677569590391,0.00201445370108154,0.0454242433102492,94.9,0.387196970467536,0.567260215516608,0.439940746063797,0.500441413020601,0.442945087229659,0.494337019322623,0.0379488478893571,94,0.39854646423432,0.548198103783841,0.443519476493561,0.494768924170202,0.0513919320929637,0.0512494476766411,0.0607334420513469,0.060500666956804
0.68257845747255,0.465787700637251,0.465660815456473,0.463481303985687,0.0444989300413476,0.0391900770263465,0.00230639665156418,0.00217951147078538,0.00153753900643849,0.00198151257299128,0.0457873929325763,95.2,0.382780036285241,0.564491627561284,0.43602887436652,0.496809195003653,0.439358507414813,0.490604826229794,0.0380501981475439,93.9,0.394549719561126,0.544601958669043,0.439592943175085,0.490972207577491,0.0512463188149812,0.0513792644024065,0.0595219499622808,0.0607803206371331
0.757567190239353,0.461980317269296,0.461839483184179,0.459635583700787,0.0445800675371446,0.0392939463080998,0.00234473356850889,0.00220389948339172,0.00154578159358667,0.00198890391079126,0.0465647806807305,95.4,0.377797394737574,0.562520892769479,0.431977778911774,0.493700199957402,0.434776648673378,0.486630993785709,0.0381463377373196,94.1,0.390590370426986,0.541042761530798,0.43570522419058,0.487218171254354,0.0518543451123305,0.051512947063774,0.0596118660633057,0.061722421045628
