"","Kernel","Cox"
"bias","0.017","0.000"
"MSE","0.321","0.000"
"SE","0.183","0.018"
"ABSE","0.091","0.018"
"ACI.coverage","96.139","94.043"
"EMP.IQR","0.076","0.024"
"Boot.IQR","0.090","0.024"
