"","Kernel","Cox"
"bias","0.006","0.004"
"MSE","0.010","0.001"
"SE","0.050","0.023"
"ABSE","0.051","0.025"
"ACI.coverage","95.325","94.302"
"EMP.IQR","0.040","0.027"
"Boot.IQR","0.048","0.030"
