"","Kernel","Cox"
"bias","0.047","0.002"
"MSE","1.423","0.002"
"SE","0.402","0.040"
"ABSE","0.153","0.039"
"ACI.coverage","95.459","94.151"
"EMP.IQR","0.128","0.053"
"Boot.IQR","0.154","0.053"
