"","Kernel","Cox"
"bias","0.006","0.002"
"MSE","0.005","0.001"
"SE","0.045","0.024"
"ABSE","0.053","0.025"
"ACI.coverage","95.931","95.982"
"EMP.IQR","0.044","0.032"
"Boot.IQR","0.051","0.033"
