"","Kernel","Cox"
"bias","0.023","0.003"
"MSE","0.234","0.001"
"SE","0.172","0.036"
"ABSE","0.104","0.036"
"ACI.coverage","95.420","94.843"
"EMP.IQR","0.083","0.051"
"Boot.IQR","0.099","0.048"
