"parameter","value"
"lamdas","1"
"gammas","1.5"
"n","1000"
"theta","2"
"fixed.treatment.effect","0"
"rate.C","0.175"
"p.a","0.5"
"n_simulate","1000"
"b.cor","b"
"n.est.grid","51"
"cen.per","0.204173"
"confounder","no"
"m.x","0"
"sd.x","1"
"beta.x","3"
"tau","0.5"
"parallel","yes"
"ncpus","8"
"emirical.min.time","0.00105383131784711"
