"","Kernel","Cox"
"bias","0.006","0.001"
"MSE","0.003","0.000"
"SE","0.037","0.015"
"ABSE","0.045","0.015"
"ACI.coverage","96.133","94.502"
"EMP.IQR","0.039","0.021"
"Boot.IQR","0.044","0.020"
