"","Kernel","Cox"
"bias","0.002","0.001"
"MSE","0.001","0.000"
"SE","0.018","0.011"
"ABSE","0.023","0.012"
"ACI.coverage","95.500","94.624"
"EMP.IQR","0.021","0.015"
"Boot.IQR","0.024","0.015"
