"","Kernel","Cox"
"bias","0.015","0.013"
"MSE","0.004","0.001"
"SE","0.055","0.031"
"RB","3.040","2.613"
"ABSE","0.065","0.030"
"ACI.coverage","95.471","90.349"
"EMP.IQR","0.070","0.042"
"Boot.IQR","0.079","0.041"
