"","Kernel","Cox"
"bias","0.006","0.003"
"MSE","0.018","0.005"
"SE","0.109","0.063"
"RB","1.271","0.649"
"ABSE","0.118","0.063"
"ACI.coverage","95.661","90.506"
"EMP.IQR","0.129","0.087"
"Boot.IQR","0.142","0.085"
