"","Kernel","Cox"
"bias","-0.008","-0.008"
"MSE","0.010","0.011"
"SE","0.088","0.057"
"RB","-1.549","-1.541"
"ABSE","0.095","0.056"
"ACI.coverage","95.276","69.880"
"EMP.IQR","0.113","0.077"
"Boot.IQR","0.117","0.075"
