"","Kernel","Cox"
"bias","0.014","-0.002"
"MSE","0.051","0.007"
"SE","0.092","0.037"
"RB","2.738","-0.335"
"ABSE","0.075","0.039"
"ACI.coverage","96.096","63.843"
"EMP.IQR","0.087","0.052"
"Boot.IQR","0.092","0.052"
