"parameter","value"
"n","5000"
"tau","0.7"
"theta","4.66666666666667"
"beta.x","0.693147180559945"
"lamdas","8.2"
"beta.a","-0.693147180559945"
"beta.ax","-0.693147180559945"
"ad.c","10"
"cen.per","0.3062756"
"path.results","/a/home/cc/stud_math/axelrod1/conditional_hazard_of_Cox/results/tau_0.7minus_beta.x_0.5_cp_30_n_5000"
"n.simulate","1000"
"kern","e"
"end.time","10"
"min.time","0"
"b.cor","b"
"n.est.grid","51"
"emirical.min.time","2.49613312691912e-05"
