"","Kernel","Cox"
"bias","0.024","0.019"
"MSE","0.006","0.004"
"SE","0.066","0.038"
"RB","4.758","3.716"
"ABSE","0.077","0.040"
"ACI.coverage","95.492","74.367"
"EMP.IQR","0.083","0.049"
"Boot.IQR","0.094","0.054"
