"","Kernel","Cox"
"bias","-0.006","-0.018"
"MSE","0.008","0.008"
"SE","0.067","0.036"
"RB","-1.172","-3.698"
"ABSE","0.072","0.037"
"ACI.coverage","95.527","56.231"
"EMP.IQR","0.080","0.048"
"Boot.IQR","0.089","0.050"
