"","Kernel","Cox"
"bias","0.007","0.003"
"MSE","0.028","0.003"
"SE","0.122","0.059"
"RB","1.444","0.593"
"ABSE","0.123","0.060"
"ACI.coverage","95.602","95.531"
"EMP.IQR","0.135","0.081"
"Boot.IQR","0.148","0.081"
