"","Kernel","Cox"
"bias","-0.102","-0.095"
"MSE","0.169","0.023"
"SE","0.308","0.078"
"RB","-20.405","-18.945"
"ABSE","0.186","0.079"
"ACI.coverage","83.369","69.873"
"EMP.IQR","0.154","0.097"
"Boot.IQR","0.169","0.104"
