"","Kernel","Cox"
"bias","-0.125","-0.106"
"MSE","0.029","0.022"
"SE","0.090","0.055"
"RB","-25.061","-21.210"
"ABSE","0.118","0.054"
"ACI.coverage","67.392","47.112"
"EMP.IQR","0.109","0.075"
"Boot.IQR","0.114","0.072"
