"","Kernel","Cox"
"bias","0.121","0.110"
"MSE","0.029","0.013"
"SE","0.079","0.035"
"RB","24.209","21.933"
"ABSE","0.083","0.037"
"ACI.coverage","50.898","10.312"
"EMP.IQR","0.092","0.046"
"Boot.IQR","0.101","0.049"
