"time","mean.HR","SE.HR","median.HR","X0.","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90.","X100.","X0..1","X25.","X50..1","X75.","X100..1","X2.5.","X7.5.","true.hr"
0,0.779462453929318,0.0370630873212797,0.77798764946139,0.680563025411499,0.733296409205289,0.747553926759093,0.759487295065396,0.76971781505135,0.77798764946139,0.788506987261986,0.798577367825908,0.810003497132702,0.827503917141314,0.900785193177819,0.680563025411499,0.754259173635498,0.77798764946139,0.803700714794324,0.900785193177819,0.70726686812146,0.726885233436473,0.5
0.2,0.728905539240637,0.0447748972065215,0.726989345157732,0.607283958340811,0.672551006002521,0.689791210302516,0.705161907358189,0.717327439482698,0.726989345157732,0.739831881496081,0.752875280349245,0.76654568934585,0.787557854164176,0.876562423798567,0.607283958340811,0.698413449261021,0.726989345157732,0.758831926370058,0.876562423798567,0.644274107118356,0.665231576914687,0.5
0.4,0.705816798728379,0.0477873774172396,0.703865452678678,0.578651649749822,0.645218867879922,0.664581955728757,0.680412890547026,0.693530553083864,0.703865452678678,0.716933001443905,0.730914590069138,0.745047235609554,0.768715812337063,0.864838291470703,0.578651649749822,0.673310906118298,0.703865452678678,0.737202143170605,0.864838291470703,0.614265946597317,0.638478619914074,0.5
0.6,0.689333677647996,0.0498505805782919,0.687588650012363,0.557508967233226,0.626819514457628,0.646276210321658,0.663124074628908,0.676175635757075,0.687588650012363,0.701255415551801,0.715033428854632,0.730039624672675,0.755870542563356,0.855608371644427,0.557508967233226,0.654668638536886,0.687588650012363,0.721214863105894,0.855608371644427,0.593102907856456,0.619232279491226,0.5
0.8,0.676144494881631,0.0514657120816707,0.673804464786089,0.539837746697475,0.611906305952645,0.631251562845082,0.64961814648951,0.662644987031646,0.673804464786089,0.688288005874999,0.703051818113955,0.71832551674049,0.744574445649094,0.84814716336833,0.539837746697475,0.639893792868965,0.673804464786089,0.709658855472247,0.84814716336833,0.577306874016747,0.602584563733678,0.5
1,0.665154574022104,0.0528600106284793,0.662601674947946,0.524071836244928,0.599994138377842,0.620237396257859,0.637260192214028,0.650610618039645,0.662601674947946,0.678074405460236,0.693011997934782,0.70844303274145,0.734870681657958,0.842462908749463,0.524071836244928,0.628677778674446,0.662601674947946,0.698998885220283,0.842462908749463,0.562948108439697,0.590286321190132,0.5
1.2,0.65575206332013,0.0539337057812698,0.653375566036813,0.512122408882437,0.589573653892772,0.608598541942594,0.627633758901887,0.64100809324348,0.653375566036813,0.668996165699678,0.683481932308152,0.699657062014253,0.727050884222508,0.838272785280303,0.512122408882437,0.618275876987003,0.653375566036813,0.690280335428452,0.838272785280303,0.552710333251159,0.579819603219441,0.5
1.4,0.647384244620435,0.054940252955051,0.644606248446067,0.503565058827025,0.579664274342004,0.599959398450761,0.6184630721062,0.632076875517577,0.644606248446067,0.660952007355411,0.675451095597998,0.691996212948456,0.719997723035363,0.833808239705314,0.503565058827025,0.608801856074181,0.644606248446067,0.683399172116158,0.833808239705314,0.541465520456188,0.570335038947796,0.5
1.6,0.639861294206904,0.0557407276735714,0.637139377988037,0.493582690368962,0.571149290127783,0.591849077426229,0.610595032953767,0.623953049169585,0.637139377988037,0.65327160165936,0.668075784144994,0.685653130810188,0.714195853756622,0.830495297454935,0.493582690368962,0.600996246520087,0.637139377988037,0.676869189583552,0.830495297454935,0.534738172232717,0.561208786690052,0.5
1.8,0.633104691069316,0.0564711706419053,0.630021304144134,0.482645669392603,0.563214394302451,0.584597291122837,0.603513614080046,0.617074158000867,0.630021304144134,0.647261512905419,0.661987117656327,0.679283374056201,0.708167406298467,0.826263059240002,0.482645669392603,0.593968589746335,0.630021304144134,0.670069275128049,0.826263059240002,0.525012733913662,0.554112000264741,0.5
2,0.626813325309128,0.0571931101185589,0.6239036399084,0.474155581677852,0.555497464465094,0.577340594024078,0.596973519560595,0.610458097350439,0.6239036399084,0.640163839164784,0.656044222797198,0.673653140127852,0.702967729658294,0.821577287584114,0.474155581677852,0.586877120339444,0.6239036399084,0.664636144776248,0.821577287584114,0.516681572394462,0.546318189785309,0.5
2.2,0.621055021110652,0.057799845297409,0.618294736424464,0.468896304883857,0.549762217028071,0.571870445980166,0.590462129657066,0.604322600441271,0.618294736424464,0.634194067865076,0.650446850763231,0.668643177702006,0.697759002659972,0.818068816071212,0.468896304883857,0.580225934924981,0.618294736424464,0.659054633748235,0.818068816071212,0.510396367501365,0.540616167179947,0.5
2.4,0.615716136670674,0.0583946017827845,0.613035300328821,0.463212274097183,0.543105711181395,0.56574730586954,0.585089640375667,0.59858814854781,0.613035300328821,0.62910539187339,0.645670686182226,0.663312809692573,0.694289554731323,0.815684003565272,0.463212274097183,0.5744663770625,0.613035300328821,0.653974096698331,0.815684003565272,0.5041462041497,0.534351723336606,0.5
2.6,0.610683080251418,0.0589305495310361,0.60742463269765,0.45901258793005,0.537537001130771,0.559767358734752,0.580256848361584,0.593731801990594,0.60742463269765,0.624161978962209,0.64104289161862,0.658959689268445,0.689696269110088,0.812265990311078,0.45901258793005,0.569208516146055,0.60742463269765,0.649159952092183,0.812265990311078,0.497725733370372,0.528890777785075,0.5
2.8,0.605979793972566,0.0594033077897303,0.602368069146539,0.45323158383571,0.532517054688101,0.555099621725342,0.57482655467975,0.58928800030662,0.602368069146539,0.619176697356748,0.636604671777317,0.655024180254638,0.68527212163783,0.809295565483461,0.45323158383571,0.564514869197139,0.602368069146539,0.644427003789402,0.809295565483461,0.492817475215568,0.52246636154245,0.5
