"time","mean.kernel","mean.cox","true.HR","SE.kernel","SE.cox","mean.cox.con","SE.cox.con","bias.kernel","bias.cox","bias.cox.con","r.bias.kernel","r.bias.cox","r.bias.cox.con","MSE.cox","MSE.kernel","IQR.simulations.cox","IQR.simulations.kernel"
0,0.528789437615995,0.576567466586803,0.5,0.192814999765133,0.0580628905592613,0.575959178610468,0.0570561500055234,0.0287894376159946,0.076567466586803,0.0759591786104682,5.75788752319892,15.3134933173606,15.1918357220936,0.00922128361674109,0.0379313468816572,0.0756970574132318,0.203530259899113
0.2,0.519094327959467,0.572703117499294,0.5,0.144915327638831,0.0583780222199615,0.575959178610468,0.0570561500055234,0.0190943279594666,0.0727031174992945,0.0759591786104682,3.81886559189333,14.5406234998589,15.1918357220936,0.0086816471318204,0.0213227223703385,0.0767614142606425,0.187701146488512
0.4,0.51499554090714,0.56888925859701,0.5,0.12719563415915,0.0586867605608884,0.575959178610468,0.0570561500055234,0.0149955409071395,0.0688892585970096,0.0759591786104682,2.9991081814279,13.7778517194019,15.1918357220936,0.00817824343587569,0.0163710458210757,0.0772917321768506,0.166708427046844
0.6,0.512513302617357,0.565173492750724,0.5,0.116260617784648,0.0589395955486594,0.575959178610468,0.0570561500055234,0.0125133026173567,0.0651734927507238,0.0759591786104682,2.50266052347135,13.0346985501448,15.1918357220936,0.00771027592891585,0.0136459515073067,0.0766607027429616,0.152199682269127
0.8,0.510459935743589,0.561533549353084,0.5,0.107818286205774,0.0592537473579692,0.575959178610468,0.0570561500055234,0.0104599357435889,0.0615335493530837,0.0759591786104682,2.09198714871779,12.3067098706167,15.1918357220936,0.00728658667869579,0.011710857455814,0.0769822674284442,0.139668589836922
1,0.508689269555344,0.55802662717943,0.5,0.100657735476388,0.0594903239032003,0.575959178610468,0.0570561500055234,0.00868926955534355,0.0580266271794295,0.0759591786104682,1.73785391106871,11.6053254358859,15.1918357220936,0.00689575324804205,0.0101871639729558,0.0768784476533605,0.134417376129084
1.2,0.507148057866984,0.554550408705851,0.5,0.0946458585346901,0.059776757402188,0.575959178610468,0.0570561500055234,0.00714805786698414,0.0545504087058513,0.0759591786104682,1.42961157339683,10.9100817411703,15.1918357220936,0.00653889565911082,0.00899098444605449,0.0777411183238733,0.127875275176644
1.4,0.505931269096097,0.551187631267225,0.5,0.0898814105492319,0.0599815927973187,0.575959178610468,0.0570561500055234,0.00593126909609742,0.0511876312672248,0.0759591786104682,1.18625381921948,10.237526253445,15.1918357220936,0.00620815911865956,0.00809767157587173,0.0781761150907786,0.120034932938747
1.6,0.505046362123478,0.547909823306339,0.5,0.086337160941926,0.0602521598149926,0.575959178610468,0.0570561500055234,0.00504636212347787,0.0479098233063389,0.0759591786104682,1.00927242469557,9.58196466126777,15.1918357220936,0.00591612748137228,0.00746465237246132,0.0783934205755835,0.117832569245062
1.8,0.504482958937383,0.54463983094909,0.5,0.0838451739654527,0.0604894471654394,0.575959178610468,0.0570561500055234,0.00448295893738337,0.0446398309490904,0.0759591786104682,0.896591787476675,8.92796618981808,15.1918357220936,0.00564238636595952,0.00703604406087312,0.079043265658166,0.113877524148874
2,0.504017853000368,0.541429886483057,0.5,0.0821279152065924,0.0607052240275868,0.575959178610468,0.0570561500055234,0.00401785300036761,0.041429886483057,0.0759591786104682,0.803570600073522,8.2859772966114,15.1918357220936,0.00539248211190235,0.00674764495949812,0.079255998485777,0.109775711699374
2.2,0.503544708833351,0.53832094920842,0.5,0.0808620714321872,0.0609227479894753,0.575959178610468,0.0570561500055234,0.0035447088333509,0.0383209492084197,0.0759591786104682,0.708941766670179,7.66418984168393,15.1918357220936,0.0051711935960048,0.00653816271970137,0.079534186750218,0.105806832085879
2.4,0.503040863697191,0.535259631736825,0.5,0.0796073800917352,0.0610764514549523,0.575959178610468,0.0570561500055234,0.00304086369719114,0.0352596317368252,0.0759591786104682,0.608172739438229,7.05192634736505,15.1918357220936,0.00496487934028307,0.00633391057155825,0.079583923582352,0.101727655201923
2.6,0.502442531871316,0.532226866327838,0.5,0.0782497001180526,0.061234050500866,0.575959178610468,0.0570561500055234,0.00244253187131593,0.0322268663278381,0.0759591786104682,0.488506374263187,6.44537326556762,15.1918357220936,0.00477965059451969,0.00611674177316582,0.0789720370400028,0.0979046025686091
2.8,0.501819992351394,0.529213587392379,0.5,0.0771075450697236,0.0614107775198683,0.575959178610468,0.0570561500055234,0.00181999235139352,0.0292135873923787,0.0759591786104682,0.363998470278704,5.84271747847573,15.1918357220936,0.00461632967066066,0.00593700330202987,0.0785817717481637,0.099465866012748
3,0.501243395006995,0.526242589084087,0.5,0.0763609784724602,0.0616252768840674,0.575959178610468,0.0570561500055234,0.00124339500699511,0.0262425890840874,0.0759591786104682,0.248679001399021,5.24851781681748,15.1918357220936,0.00447807248563756,0.00582089317220946,0.0797915215871181,0.0968707456094995
3.2,0.500868598624934,0.523373678684258,0.5,0.0757259493945399,0.0618184166825268,0.575959178610468,0.0570561500055234,0.000868598624934158,0.0233736786842584,0.0759591786104682,0.173719724986832,4.67473573685169,15.1918357220936,0.00435966431541292,0.00572371574012383,0.0811485538412872,0.0979410818630136
3.4,0.500464778340265,0.520520264745127,0.5,0.0753059047231854,0.0619900380313433,0.575959178610468,0.0570561500055234,0.000464778340264704,0.0205202647451267,0.0759591786104682,0.0929556680529409,4.10405294902534,15.1918357220936,0.00425574756795439,0.00565986446133555,0.0807877228886683,0.0979607434319175
