"time","sim.num.1","sim.num.2","sim.num.3","sim.num.4","sim.num.5","sim.num.6","sim.num.7","sim.num.8","sim.num.9","sim.num.10"
0,0.869104842576344,0.869127599111784,0.832510586021526,0.895602963626524,0.885096635354283,0.859274532017648,0.851957965189194,0.866597294607873,0.858650958978028,0.816618161575447
0.2,0.639093962573788,0.647224112790483,0.555037938982994,0.709249107279325,0.675657361378394,0.609891514558526,0.605164393643973,0.635949406313537,0.624659275450378,0.517678308823206
0.4,0.596529480721844,0.604416458598742,0.50934350262919,0.674406375527624,0.633690465982516,0.565734409436813,0.557979790184911,0.591217313586205,0.580050886227614,0.462299845009242
0.6,0.572809435070137,0.578050962357052,0.476374303401624,0.65411434340508,0.612200018479022,0.538135816799362,0.529699690052487,0.565189174445862,0.556344281379972,0.432769125512861
0.8,0.555786659975911,0.557522466150825,0.456638167612118,0.637246486508336,0.596547078219201,0.520307977032126,0.512861788552307,0.546862943079615,0.534663220299601,0.413141481425194
1,0.542039624474712,0.545174069697014,0.442917636165478,0.621605926231884,0.583333573268605,0.504873817919158,0.496890021516911,0.530469961409194,0.519792282188572,0.39905679327622
1.2,0.528069367430639,0.53165882825743,0.431057698605739,0.613073026897254,0.571233552821154,0.491745302387324,0.484002225864584,0.519063257194789,0.507054079355694,0.386469923955561
1.4,0.51898835596628,0.518644559241851,0.422107812082914,0.602135929754242,0.562182520523441,0.480909877900974,0.472687432575593,0.509673944181535,0.497767513846613,0.374965571617235
1.6,0.510718434347615,0.511384461808254,0.412946082983138,0.594173742469247,0.555052483131858,0.472146364643191,0.464014061581286,0.502127721683566,0.489956106220675,0.366352411965547
1.8,0.501068074023739,0.506381863122106,0.405092510115752,0.587953582735327,0.546914963488347,0.464437487583162,0.453809743173561,0.493518611870137,0.481622277955259,0.358405063389285
2,0.494315112491664,0.500756657166312,0.398825538516452,0.58171272492261,0.540637518524702,0.457592604509863,0.445581806508087,0.487567395195522,0.473660381150118,0.351166460545247
2.2,0.488334342082572,0.493834232129559,0.393837475294317,0.575978968321407,0.535488515303766,0.450849386306883,0.44132945441183,0.480864017151762,0.468826557395233,0.344817968156434
2.4,0.482319501463744,0.487466953873272,0.388422986772868,0.572120058791496,0.530561565555467,0.446404012045639,0.434135247313082,0.476993389914859,0.464412149533551,0.339406143163491
2.6,0.476151155073684,0.482545093207923,0.383203854187692,0.567522037682621,0.526042508959717,0.44132818306874,0.42952411193947,0.47103628025253,0.460042186853642,0.334739513036139
2.8,0.469852673409478,0.47849826166549,0.378951742795027,0.563867255619485,0.522080300798071,0.436842509436152,0.425415613503132,0.465959350508159,0.45501817327372,0.329699488743568
3,0.466877784841624,0.47377807241447,0.375501365813801,0.561008598162032,0.519290959592014,0.432917204508118,0.419966727310815,0.461150229509444,0.45150090822192,0.325712635888879
3.2,0.46351516768462,0.468924503903459,0.371712677394491,0.557169788748045,0.516423928741477,0.429663952076761,0.416903717261374,0.457261437418663,0.448080415952553,0.321651888385642
3.4,0.461335645595155,0.464731618742921,0.368389006104646,0.553843044998597,0.512289933548877,0.425965458281608,0.414118660015673,0.454502665539469,0.443564535195326,0.3183607988758
3.6,0.459403513987906,0.462428521819395,0.366021360696185,0.552625560462935,0.508990944563755,0.421360496067504,0.410110362957968,0.451627257451196,0.439567330856004,0.314676784301047
3.8,0.455816513153753,0.458886090722423,0.362994085148072,0.54908615243484,0.506226534254609,0.417791350119012,0.407642583582014,0.447276102599272,0.436732082507589,0.31205263259994
4,0.452828780990327,0.455436541757251,0.361295252467357,0.547141464851685,0.502353523878276,0.415297991050098,0.405195369316978,0.443146715439887,0.433216362848795,0.309823911688249
4.2,0.449608612800571,0.452685667889157,0.358365109179853,0.545498592766662,0.499685941977058,0.412275572149067,0.403036365727433,0.441354810544262,0.430264162797011,0.307524354205686
4.4,0.446603313138303,0.448846039712763,0.355968130341041,0.541493145598743,0.495834496706278,0.409620229773448,0.401017433142243,0.438939777354277,0.426797852249565,0.304109050887295
4.6,0.444005133484531,0.445617609954446,0.352981319226083,0.538870497842686,0.492762214279978,0.407016200290305,0.398091700010178,0.436365123544305,0.424799901021497,0.302830772937396
4.8,0.440645522119158,0.442958385476475,0.351293353098156,0.537402824563624,0.490102781122542,0.404038341822207,0.395406989845852,0.434616682016429,0.421655427766179,0.300629940093433
5,0.438463338411822,0.440292988578862,0.34917062660177,0.535043366974723,0.488109454081343,0.40260866960651,0.392063722099158,0.432076978053066,0.419205257362758,0.298140918204349
5.2,0.436203323782232,0.439129960625872,0.346310476916029,0.532017508868952,0.486406047886435,0.400050350323524,0.389197213100438,0.430182637937532,0.416727651561402,0.295705865111134
5.4,0.43397971888065,0.437330897303602,0.344443813603055,0.530054362190377,0.482947229902226,0.397527405271898,0.386810405459883,0.428133587762937,0.41321160240662,0.293946202718413
5.6,0.432427077489587,0.436038099590374,0.341442174789792,0.527944276968888,0.480399169326408,0.394616989750895,0.385066370557325,0.426368250791698,0.411320324690996,0.292766517571709
5.8,0.430699950072093,0.434239949203959,0.340584188494377,0.525798082528636,0.478345583705594,0.392628012355844,0.384283787341102,0.424769304949209,0.409135137312315,0.291982244408765
6,0.429000193903291,0.431418868119781,0.338115008062612,0.524185578896804,0.476946856127764,0.391868744512564,0.382522012854649,0.422779604443385,0.406675814636471,0.290579810934118
6.2,0.42778446326759,0.429240631469272,0.337443889313926,0.522381167776115,0.474596238873907,0.38905378649964,0.380892277927396,0.420566996585935,0.40418475163386,0.288308589735519
6.4,0.42510667782241,0.427650089230414,0.336201868868726,0.521164389716737,0.472904126652663,0.387303113844409,0.379335938883156,0.419223400708292,0.402211017086759,0.286498941479408
6.6,0.424185455919906,0.424653552775305,0.335133163404618,0.519580303435704,0.471026184774444,0.385069445206817,0.378013060922125,0.417971025130396,0.400055269040164,0.284379758791545
6.8,0.421080526490596,0.422901014708839,0.334178251482879,0.518125186845157,0.469692822862393,0.383749222007169,0.375679361882223,0.417100627124404,0.398478961418432,0.282679472802516
7,0.419552162046624,0.421831139051427,0.332891877679878,0.516855179306689,0.468284822666074,0.382321123804628,0.374242452765647,0.414368099783109,0.396380082221137,0.282025738108797
7.2,0.417812499151491,0.419588598894176,0.33140876299178,0.515408882889027,0.465339586402376,0.381124826883144,0.373227973501783,0.412336474968928,0.394185177079782,0.27956963133688
7.4,0.417112335327626,0.41784916945555,0.329611689257366,0.514042046405716,0.463403475418924,0.379681619800422,0.371296835184556,0.411600192588045,0.392144467415827,0.278337183307925
7.6,0.416420661828432,0.415897921668389,0.328392583799016,0.51257173798666,0.461915947409029,0.378652525750721,0.369635974434959,0.409510701083641,0.390810270983319,0.276727197530761
7.8,0.415508330744,0.413360346328094,0.327063786135845,0.511041475197463,0.460810959316615,0.376735430325317,0.367517879923609,0.407392039379513,0.388928720115992,0.274210698975854
8,0.413792031510413,0.411738533068686,0.326173572380413,0.509654752986436,0.459893426904422,0.375472997390086,0.365531081544359,0.405262386283935,0.387807472461458,0.272208739554644
8.2,0.412478139292449,0.410199370377945,0.324949019855864,0.508261479753298,0.458683466569093,0.374131626957119,0.364770410682917,0.403675320312659,0.386964385077652,0.271249193834731
8.4,0.411720635132042,0.408944311728632,0.323902339757395,0.507870375125171,0.458536684144435,0.373092479051003,0.363971529512346,0.403133519386468,0.386118990648149,0.270027056740304
8.6,0.41159316604595,0.406474270996281,0.322995557371858,0.507038857088952,0.457724594987206,0.371871776159911,0.363185494174086,0.402362471842726,0.385072592586357,0.268149234042309
8.8,0.410139439418908,0.404446999066265,0.321717779818613,0.505505426498017,0.456368411998696,0.370705460502665,0.361466993264133,0.400550779856442,0.383992579431959,0.266850965794838
9,0.40886347975302,0.403942176552786,0.32085177808826,0.503668266370694,0.455078429682276,0.369607621811292,0.361336321212613,0.399823268888131,0.382254718487855,0.26671088893498
9.2,0.407952777333898,0.403163837420175,0.319397444424819,0.50199595227918,0.45419785324896,0.368373073134667,0.36078959162639,0.399047884792367,0.380973346915627,0.265926713591026
9.4,0.406894110523425,0.401810415189732,0.318445447128624,0.501157100833698,0.452719908236913,0.367228254649325,0.360163994398275,0.397955814901014,0.380311893887518,0.26508048576017
9.6,0.405691310879587,0.401123180654297,0.317631810992358,0.500278615117343,0.452225298626816,0.366353734850119,0.358085700156047,0.396953670798727,0.378615903621143,0.264388368635442
9.8,0.40407721169884,0.400500346543691,0.316776967321099,0.498818548825684,0.451484162353619,0.365745942282825,0.357047624809064,0.396445804622677,0.377609172370401,0.263616161465564
10,0.403519398008056,0.39945074784507,0.316114724034775,0.497594846165942,0.450899199124619,0.364900296349004,0.356325522486758,0.396099898794392,0.376133146662935,0.262746134079716
