"","Kernel","Cox"
"bias","-0.070","-0.056"
"MSE","0.029","0.012"
"SE","0.128","0.065"
"RB","-14.075","-11.196"
"ABSE","0.181","0.086"
"ACI.coverage","91.961","80.588"
"EMP.IQR","0.155","0.045"
"Boot.IQR","0.267","0.128"
