"time","mean.kernel","mean.cox","true.HR","SE.kernel","SE.cox","mean.cox.con","SE.cox.con","bias.kernel","bias.cox","bias.cox.con","r.bias.kernel","r.bias.cox","r.bias.cox.con","MSE.cox","MSE.kernel","ABSE","CI.coverage.percent","mean.cIL.kernel","mean.cIU.kernel","mean.B.q1.kernel","mean.B.q3.kernel","mean.q1.kernel","mean.q3.kernel","cox.ABSE","cox.CI.coverage.percent","mean.cIL.cox","mean.cIU.cox","mean.B.q1.cox","mean.B.q3.cox","IQR.simulations.cox","IQR.boot.cox","IQR.simulations.kernel","IQR.boot.kernel"
0,0.906952641114428,0.859521623270262,0.5,0.74370474444902,0.0284581573196695,0.845456334212747,0.0334558225202577,0.406952641114428,0.359521623270262,0.345456334212747,81.3905282228855,71.9043246540524,69.0912668425495,0.129934919530666,0.717432846374745,0.331029222535416,78.9,0.474588524073895,1.45671909551346,0.69031417587945,1.07881049611862,0.841116626054046,0.877815721406304,0.0313509751793687,0,0.799922861864887,0.924162663862235,0.838749124149964,0.881205679966495,0.0366990953522573,0.0424565558165316,0.454113743379549,0.38849632023917
0.2,5141.12972242302,0.621691262117832,0.5,162552.924910846,0.0661065373128911,0.845456334212747,0.0334558225202577,5140.62972242302,0.121691262117832,0.345456334212747,1028125.9444846,24.3382524235664,69.0912668425495,0.0191553121648911,26397058958.6583,0.522896645530902,100,0.201790616399659,1.82637887432538,0.404037809909835,0.999474385205758,0.578738736191063,0.661707827240629,0.0729080405289246,58.9,0.493983007657576,0.782828852856833,0.575163537736402,0.673051718800442,0.0829690910495657,0.0978881810640403,0.732709473393559,0.595436575295923
0.4,1814.84501868783,0.57771614948017,0.5,57371.6016253797,0.0709896258011752,0.845456334212747,0.0334558225202577,1814.34501868783,0.0777161494801701,0.345456334212747,362869.003737566,15.543229896034,69.0912668425495,0.0110632241103333,3288212807.42762,0.35706557150174,100,0.178302361924532,1.3211487765884,0.32874509342498,0.73308966404079,0.530912059713515,0.621326635756006,0.0785324929665354,84.7,0.443146332602026,0.75405511762056,0.528079073558429,0.633176627664246,0.0904145760424906,0.105097554105818,0.446192120694712,0.40434457061581
0.6,962.335243400744,0.551587651992366,0.5,30416.5189834355,0.0737214893526509,0.845456334212747,0.0334558225202577,961.835243400744,0.0515876519923656,0.345456334212747,192367.048680149,10.3175303984731,69.0912668425495,0.00808262634611995,924240349.128942,0.133716291345152,97.6,0.247994506985226,0.716833868366543,0.350406305190213,0.510016036811813,0.502655135067089,0.596224324758027,0.0815377469216514,92.4,0.413788204522535,0.736450526374523,0.500401637857819,0.609262760333562,0.0935691896909382,0.108861122475743,0.140963959429881,0.1596097316216
0.8,735.358027835582,0.533073465050882,0.5,23239.1690061713,0.0753775150162979,0.845456334212747,0.0334558225202577,734.858027835582,0.0330734650508825,0.345456334212747,146971.605567116,6.6146930101765,69.0912668425495,0.0067631789118223,539519414.028342,0.180686046205867,99.1,0.214698431571952,0.78534670370854,0.325191747346123,0.516112151327647,0.482847615181616,0.578926326904343,0.0835160063612332,95.1,0.39344365061587,0.723712335295469,0.480894834049213,0.592235809607476,0.0960787117227273,0.111340975558263,0.18914085797755,0.190920403981524
1,750.276187491553,0.518909512005375,0.5,23711.3313483334,0.0766146513215021,0.845456334212747,0.0334558225202577,749.776187491553,0.0189095120053747,0.345456334212747,149955.237498311,3.78190240107494,69.0912668425495,0.00621528934725239,561665505.901575,0.19667859377288,97.6,0.209573960079408,0.76956884129207,0.320377455953252,0.506814978645194,0.468429757844593,0.565588194501803,0.0849384867790395,96.2,0.378040429621196,0.71386597958001,0.466035760845518,0.579110174644869,0.0971584366572106,0.113074413799351,0.175559860302916,0.186437522691942
1.2,1026.3611379096,0.507340826371501,0.5,32442.1575576513,0.07750903221831,0.845456334212747,0.0334558225202577,1025.8611379096,0.0073408263715008,0.345456334212747,205172.227581919,1.46816527430016,69.0912668425495,0.00604948067648364,1051442042.44031,0.192132480357032,91.8,0.245222363856905,0.681214254791728,0.347537994348748,0.48792798853527,0.455975601268393,0.554302366622435,0.0860466980090707,96.7,0.365587307920893,0.705784689376345,0.453939923301666,0.568354231784624,0.0983267653540417,0.114414308482958,0.118011947476899,0.140389994186522
1.4,1055.84245685118,0.49761582965219,0.5,33374.4454511876,0.0782591819479956,0.845456334212747,0.0334558225202577,1055.34245685118,-0.0023841703478098,0.345456334212747,211068.491370236,-0.47683406956196,69.0912668425495,0.00611794138647122,1112740762.50385,0.200328490982071,91.6,0.242752223589043,0.694076268668836,0.347526903266098,0.493479748289735,0.445624581207816,0.544567201393258,0.0869350467531552,96.1,0.355235709506068,0.698889624382733,0.443838273517062,0.559275997097071,0.0989426201854419,0.115437723580009,0.128739983609035,0.145952845023638
1.6,1082.82777389695,0.489312646607697,0.5,34227.8093254111,0.0789083328193042,0.845456334212747,0.0334558225202577,1082.32777389695,-0.0106873533923025,0.345456334212747,216465.554779389,-2.13747067846051,69.0912668425495,0.00632818979606965,1170372449.24639,0.203521655754525,91.7,0.237761289375114,0.710744719136161,0.345144649904784,0.497429995224043,0.437008345039317,0.536544777356054,0.0876609702136524,95.8,0.346458883881941,0.692951830900401,0.435275036689035,0.551517116213329,0.0995364323167362,0.116242079524294,0.140916019257833,0.152285345319258
1.8,1138.81233691562,0.48204093301765,0.5,35998.1878738363,0.0794204364808729,0.845456334212747,0.0334558225202577,1138.31233691562,-0.0179590669823502,0.345456334212747,227662.467383123,-3.59181339647004,69.0912668425495,0.00661720900295515,1294574840.80538,0.204982633894972,91.6,0.233446550704322,0.722864310712305,0.342445409741801,0.499961084785006,0.429011517877006,0.529148147321297,0.0882726874302173,95.3,0.338890274687384,0.68774376978387,0.427727943078404,0.544681475319188,0.100136629444291,0.116953532240784,0.146481033421475,0.157515675043205
