"","Kernel","Cox"
"bias","1213.199","-0.055"
"MSE","1831788128.881","0.016"
"SE","38362.746","0.080"
"RB","242639.844","-10.900"
"ABSE","0.244","0.090"
"ACI.coverage","92.653","85.773"
"EMP.IQR","0.192","0.101"
"Boot.IQR","0.209","0.118"
