"parameter","value"
"n","50000"
"tau","0.7"
"theta","4.66666666666667"
"beta.x","0.693147180559945"
"lamdas","0.015"
"beta.a","-0.693147180559945"
"beta.ax","-0.693147180559945"
"ad.c","10"
"cen.per","0.90414276"
"path.results","/a/home/cc/stud_math/axelrod1/conditional_hazard_of_Cox/results/tau_0.7minus_beta.x_0.5_cp_90_n_50000"
"n.simulate","1000"
"kern","e"
"end.time","10"
"min.time","0"
"b.cor","b"
"n.est.grid","51"
"emirical.min.time","0.00137809083222904"
