"","Kernel","Cox"
"bias","0.133","0.122"
"MSE","0.021","0.016"
"SE","0.050","0.023"
"RB","26.606","24.362"
"ABSE","0.057","0.025"
"ACI.coverage","18.665","1.192"
"EMP.IQR","0.066","0.031"
"Boot.IQR","0.071","0.034"
