"time","mean.HR","SE.HR","median.HR","X0.","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90.","X100.","X0..1","X25.","X50..1","X75.","X100..1","X2.5.","X7.5.","true.hr"
0,0.785243199770207,0.0105833256292866,0.78502229688922,0.753117095306985,0.77162983800342,0.776600692233489,0.780183607890466,0.782432563918506,0.78502229688922,0.787713002313126,0.790693077365305,0.793648794053649,0.798991700325473,0.818433892395607,0.753117095306985,0.778634617940579,0.78502229688922,0.792055658742488,0.818433892395607,0.764008318172459,0.769836341694927,0.5
0.2,0.714402493319199,0.0135326031535905,0.713691737047071,0.674895358915371,0.696815129248682,0.703788015171467,0.707936202685125,0.710788669137604,0.713691737047071,0.71745284198255,0.721193705459237,0.725152962149932,0.731866990847852,0.758612891060144,0.674895358915371,0.705843409667562,0.713691737047071,0.723236417545506,0.758612891060144,0.687226285211853,0.694514560972942,0.5
0.4,0.668583783995857,0.0151443398847086,0.667783058500831,0.62387987552697,0.648480619338501,0.656741628140332,0.66125298885329,0.664821633044753,0.667783058500831,0.672013005552888,0.676104013631429,0.680647558947485,0.687979549896207,0.71764523406892,0.62387987552697,0.658753662364673,0.667783058500831,0.678791931941696,0.71764523406892,0.637948680534502,0.646315767670944,0.5
0.6,0.634968900015056,0.0162217836657666,0.634184807981392,0.585823322789479,0.613913403424555,0.622341753955657,0.627051678107309,0.63051037204925,0.634184807981392,0.638674467038184,0.643504610806426,0.647989594326192,0.656019302486665,0.687410276066277,0.585823322789479,0.624822080413586,0.634184807981392,0.64553004515533,0.687410276066277,0.602908713218194,0.611227676444036,0.5
0.8,0.608735271105307,0.0169865541679999,0.607843096771191,0.557869447682548,0.586808501231326,0.595831641322225,0.600526761865804,0.604108216689833,0.607843096771191,0.612805090383242,0.61737984907575,0.622492909688216,0.630457071562343,0.664239331458018,0.557869447682548,0.598025054721913,0.607843096771191,0.620091357023843,0.664239331458018,0.57553869757398,0.584215255738845,0.5
1,0.587277981052734,0.0175545818477465,0.586280416565505,0.535128437140515,0.564769558450805,0.573509851611977,0.578823999245156,0.582452561210204,0.586280416565505,0.591350900386345,0.596493774441064,0.601361929191599,0.609893693081794,0.644849523420607,0.535128437140515,0.57614031634075,0.586280416565505,0.598840101191694,0.644849523420607,0.553400125404337,0.561983924518656,0.5
1.2,0.569286579904235,0.0180011689603041,0.568161410276728,0.516430178354848,0.545910738156836,0.555091241538337,0.560655917476866,0.564390633269133,0.568161410276728,0.573485926350453,0.578918479670884,0.583806707154734,0.592419897644545,0.628121002469824,0.516430178354848,0.557968995121728,0.568161410276728,0.581009740088512,0.628121002469824,0.534542421234444,0.543267661070747,0.5
1.4,0.553854146665395,0.0183304496546263,0.552855233343776,0.500704172938688,0.530132566347817,0.539463398322444,0.545051849174079,0.54881589134676,0.552855233343776,0.557921429440275,0.563645950487319,0.568550974057472,0.5771420206116,0.613427448820369,0.500704172938688,0.542336402429739,0.552855233343776,0.565777923163408,0.613427448820369,0.518180076828568,0.527464130527642,0.5
1.6,0.540329823798736,0.0186418921440435,0.539177905165623,0.4866973342603,0.516217058653602,0.525545182664867,0.531123970393915,0.53522520825132,0.539177905165623,0.544792101727664,0.549967247003188,0.555527849770003,0.564224767409553,0.601109856010188,0.4866973342603,0.528639970348809,0.539177905165623,0.552425674799252,0.601109856010188,0.504389629274065,0.513236450691343,0.5
1.8,0.528343781718676,0.0188921188772885,0.527233746573414,0.474252127900383,0.504173267513765,0.513138542291329,0.519014578995483,0.523272548821131,0.527233746573414,0.532666866328842,0.538119521706856,0.543475583552409,0.552495639016881,0.59016026367289,0.474252127900383,0.516246882841769,0.527233746573414,0.540584869588418,0.59016026367289,0.491695794861913,0.501082595056382,0.5
