"","Kernel","Cox"
"bias","-0.027","-0.041"
"MSE","0.003","0.011"
"SE","0.039","0.020"
"RB","-5.318","-8.242"
"ABSE","0.042","0.020"
"ACI.coverage","87.312","20.151"
"EMP.IQR","0.051","0.025"
"Boot.IQR","0.052","0.027"
