"","Kernel","Cox"
"bias","0.013","0.007"
"MSE","0.016","0.003"
"SE","0.105","0.054"
"RB","2.588","1.353"
"ABSE","0.115","0.054"
"ACI.coverage","95.708","94.198"
"EMP.IQR","0.123","0.073"
"Boot.IQR","0.136","0.073"
