"time","mean.kernel","mean.cox","true.HR","SE.kernel","SE.cox","mean.cox.con","SE.cox.con","bias.kernel","bias.cox","bias.cox.con","r.bias.kernel","r.bias.cox","r.bias.cox.con","MSE.cox","MSE.kernel","ABSE","CI.coverage.percent","mean.cIL.kernel","mean.cIU.kernel","mean.B.q1.kernel","mean.B.q3.kernel","mean.q1.kernel","mean.q3.kernel","cox.ABSE","cox.CI.coverage.percent","mean.cIL.cox","mean.cIU.cox","mean.B.q1.cox","mean.B.q3.cox","IQR.simulations.cox","IQR.boot.cox","IQR.simulations.kernel","IQR.boot.kernel"
0,0.514953851703665,0.520517996457207,0.5,0.145533981155204,0.0322756170543474,0.520860863539379,0.031706835184031,0.0149538517036647,0.0205179964572073,0.0208608635393792,2.99077034073294,4.10359929144146,4.17217270787584,0.00146020171768293,0.0213612159959916,0.252132695549424,97.5,0.240291528910832,1.09156882114894,0.423101080004766,0.621774025959054,0.498220273774665,0.54212508888341,0.0316481917706569,89.7,0.460687287825243,0.586491583474756,0.499440883646844,0.542115452346962,0.0439048151087451,0.0426745687001189,0.16291575049204,0.198672945954288
0.2,0.508234191492387,0.519621790337163,0.5,0.105542712262698,0.0323007941931687,0.520860863539379,0.031706835184031,0.00823419149238669,0.0196217903371635,0.0208608635393792,1.64683829847734,3.9243580674327,4.17217270787584,0.00142588673350603,0.011184742015173,0.118651494385585,96.3,0.318071406088336,0.790729367012491,0.437400705179542,0.588833932562262,0.497154858966371,0.541331446913033,0.0316737218161921,90.4,0.459760297351721,0.585661677826759,0.498528483909647,0.541236996252258,0.0441765879466617,0.0427085123426111,0.135373381916507,0.15143322738272
0.4,0.505968730886006,0.518722694039066,0.5,0.0889786783889487,0.0323411705875448,0.520860863539379,0.031706835184031,0.0059687308860058,0.0187226940390658,0.0208608635393792,1.19374617720116,3.74453880781316,4.17217270787584,0.00139405058515302,0.00793697677425144,0.094258905590748,94.8,0.348643620328315,0.723650034182419,0.446966206671016,0.571359328071057,0.496291815671826,0.540493953695278,0.0316987972851107,90.9,0.458826980479611,0.584828481646666,0.497615901462054,0.540353831792439,0.0442021380234528,0.0427379303303844,0.113953933122178,0.124393121400041
0.6,0.504744162112272,0.517828839185118,0.5,0.0780751194404424,0.0323624790388394,0.520860863539379,0.031706835184031,0.00474416211227247,0.0178288391851176,0.0208608635393792,0.948832422454493,3.56576783702351,4.17217270787584,0.00136278743873982,0.00610602959591531,0.081178248024666,95,0.365476378315118,0.688986129622782,0.452793734613615,0.561097725441703,0.495451467723128,0.539626177005598,0.0317241049329811,91,0.457898461279479,0.584005027916398,0.496711303773406,0.539475828008397,0.0441747092824701,0.0427645242349909,0.101054665743402,0.108303990828088
0.8,0.503787790930918,0.516945821966471,0.5,0.0697994940519622,0.0323816947903944,0.520860863539379,0.031706835184031,0.00378779093091752,0.0169458219664714,0.0208608635393792,0.757558186183505,3.38916439329429,4.17217270787584,0.00133335311234776,0.00487656819248385,0.0720348185415167,95.3,0.377934280054885,0.664874090406974,0.457373999144063,0.553630885965705,0.494575557347934,0.538656995027065,0.0317497534525189,91.5,0.45698263548035,0.583185923794383,0.495809006887153,0.538611055913289,0.0440814376791313,0.0428020490261359,0.0905003956477806,0.0962568868216416
1,0.503066058393038,0.516070715895555,0.5,0.0632168415126561,0.0324137015349524,0.520860863539379,0.031706835184031,0.00306605839303775,0.0160707158955553,0.0208608635393792,0.61321167860755,3.21414317911106,4.17217270787584,0.00130655874979563,0.00399777562023473,0.0652546871655104,96,0.387686646749671,0.647033741211398,0.460537793373177,0.548043200119049,0.493634262041473,0.537573058947138,0.0317743001259978,91.6,0.456069894712427,0.582373830876166,0.494917727177114,0.537756349518097,0.0439387969056655,0.042838622340983,0.0859096467299695,0.0875054067458721
1.2,0.50251969986697,0.515194278844911,0.5,0.0581243185534592,0.0324304735621219,0.520860863539379,0.031706835184031,0.00251969986696998,0.0151942788449105,0.0208608635393792,0.503939973393996,3.03885576898211,4.17217270787584,0.00128026971974518,0.00337802882948682,0.0604958901163025,96.3,0.394347560285289,0.634861014381724,0.463073898495548,0.54408361544248,0.492646141379938,0.536738122421826,0.0317994613405536,91.8,0.455165377926042,0.581559439484937,0.494028704046234,0.536902633344975,0.0440919810418887,0.0428739292987409,0.0787113465311883,0.0810097169469318
1.4,0.502086861701992,0.514342107126538,0.5,0.0544257755292384,0.0324541164544871,0.520860863539379,0.031706835184031,0.00208686170199179,0.0143421071265377,0.0208608635393792,0.417372340398359,2.86842142530754,4.17217270787584,0.00125665578620944,0.00296059727140891,0.0574995672154567,96.2,0.398775905191692,0.627454298898054,0.464687152872102,0.54153989986189,0.491844223165284,0.536054722259602,0.0318226984599041,92.2,0.454274828967087,0.58076199544789,0.493157978303791,0.536060173238907,0.0442104990943175,0.0429021949351163,0.073160301201527,0.076852746989788
1.6,0.501783454637393,0.513482036648371,0.5,0.0519139367445583,0.0324785626795394,0.520860863539379,0.031706835184031,0.00178345463739316,0.0134820366483707,0.0208608635393792,0.356690927478631,2.69640732967413,4.17217270787584,0.00123433315572733,0.00269284963230102,0.0559755854421888,96.6,0.400956836831956,0.62368411686007,0.465497199003419,0.540011187758406,0.490740208268952,0.535144742558173,0.031846991985573,92.8,0.453379071458129,0.579967959058798,0.49228067006349,0.535219674897294,0.0444045342892209,0.0429390048338046,0.071658007202506,0.0745139887549864
1.8,0.501549252811037,0.512616760697136,0.5,0.0504207157391437,0.032500116605986,0.520860863539379,0.031706835184031,0.00154925281103746,0.0126167606971358,0.0208608635393792,0.309850562207492,2.52335213942716,4.17217270787584,0.00121317080151056,0.00253956694439999,0.0553195582550717,96.4,0.401936564373301,0.622570409879086,0.466067928860345,0.539226457277045,0.489952146886053,0.534301516656056,0.0318706765484244,93.3,0.452487445197326,0.579165938742439,0.491399745901597,0.534372839537374,0.0443493697700037,0.0429730936357778,0.0688783756507738,0.0731585284166994
