"","Kernel","Cox"
"bias","0.001","-0.000"
"MSE","0.004","0.001"
"SE","0.059","0.033"
"RB","0.240","-0.055"
"ABSE","0.067","0.032"
"ACI.coverage","95.955","93.071"
"EMP.IQR","0.076","0.045"
"Boot.IQR","0.083","0.043"
