"time","mean.kernel","mean.cox","true.HR","SE.kernel","SE.cox","bias.kernel","bias.cox","MSE.cox","MSE.kernel","ABSE","CI.coverage.percent","mean.cIL.kernel","mean.cIU.kernel","mean.B.q1.kernel","mean.B.q3.kernel","mean.q1.kernel","mean.q3.kernel","cox.ABSE","cox.CI.coverage.percent","mean.cIL.cox","mean.cIU.cox","mean.B.q1.cox","mean.B.q3.cox","IQR.simulations.cox","IQR.boot.cox","IQR.simulations.kernel","IQR.boot.kernel"
0.000965971955409945,0.495738607396941,0.556200746624655,0.5,0.098550807869168,0.0188150655248445,-0.00426139260305897,0.0562007466246548,0.00350866793724488,0.00971082171982273,0.130802961807627,98.3,0.279853380413154,0.745377156805558,0.435398503433838,0.560144878160365,0.543556477193137,0.568588961835576,0.0184599338133272,13,0.520286230443419,0.593234944547564,0.543445415018523,0.568382779709365,0.0250324846424383,0.0249373646908424,0.115957902188985,0.124746374726527
0.0343747793833786,0.49968773645483,0.554396194595792,0.5,0.0554290771262421,0.0188478335439399,-0.000312263545169611,0.054396194595792,0.00331052105392012,0.00306634137562185,0.0573784475181708,96.3,0.396730442920094,0.623627876212799,0.462349491018052,0.538723073242312,0.541743360833093,0.566690593707912,0.0184988338489326,15.9,0.51841017012151,0.591512429399539,0.541615995207948,0.566608280977467,0.0249472328748198,0.0249922857695187,0.0768612438791051,0.07637358222426
0.0677835868113472,0.500325280453519,0.55251813055891,0.5,0.0427639956140112,0.0188891584098197,0.000325280453518539,0.0525181305589103,0.00311148605647211,0.00182521115776997,0.0434399575383493,95.5,0.420476126378718,0.592338096718916,0.471752993508306,0.530136165452792,0.539728084583108,0.564831363429222,0.0185391983925162,18.7,0.516455778521579,0.589721256790148,0.539710594514227,0.564760829260757,0.0251032788461134,0.0250502347465295,0.0594243598054756,0.0583831719444863
0.101192394239316,0.500710691333187,0.55056849865048,0.5,0.0352394032826734,0.0189302982319248,0.000710691333186575,0.0505684986504803,0.00291225863209,0.00123983897137486,0.0358806260628582,95.5,0.434020669577242,0.575866047945765,0.47710516953221,0.525334825506242,0.537863676974601,0.562952199892289,0.0185811803586015,21.9,0.514434613127607,0.587865490952922,0.537733662924306,0.562838809988508,0.0250885229176886,0.0251051470642021,0.0500360999448357,0.0482296559740327
0.134601201667285,0.501318425322043,0.548526614959802,0.5,0.0305386741500564,0.0189740224575779,0.00131842532204285,0.0485266149598023,0.00271177410004931,0.000932483769784502,0.0314771953305857,95.5,0.44207565223576,0.566607756742706,0.480331959550269,0.522612940102851,0.535797692764823,0.56088044091133,0.0186249938371467,24.9,0.512317306832868,0.585916870442687,0.535663179403304,0.560831725600986,0.0250827481465069,0.0251685461976816,0.0427767640972061,0.0422809805525822
0.168010009095253,0.501761838762166,0.546421711676791,0.5,0.0275671119800974,0.0190095591027824,0.00176183876216618,0.0464217116767908,0.00251346382512287,0.000761528264819358,0.0290517131035946,96,0.446476639658776,0.561552035952452,0.482300685514744,0.521173643192657,0.533671538802848,0.55887081178518,0.0186691814511081,28.8,0.510134296653815,0.583911697640673,0.533528080799785,0.558748404021991,0.0251992729823323,0.0252203232222061,0.0389714578051021,0.0388729576779131
0.201418816523222,0.50213672457729,0.544234172096512,0.5,0.0259597141771474,0.0190541970983692,0.00213672457729019,0.0442341720965117,0.00231704430139885,0.000677121323994229,0.0279320226563476,96.4,0.448624098091694,0.559282068304516,0.483358174728344,0.520536721494971,0.5313959099892,0.556796824850692,0.0187156192861014,31.8,0.507869752222445,0.581828209976274,0.531310806470992,0.55659703989075,0.0254009148614919,0.0252862334197579,0.0348415179281075,0.0371785467666271
0.23482762395119,0.502467825757711,0.541961980299467,0.5,0.0253511228069837,0.0191199103520237,0.00246782575771076,0.0419619802994671,0.00212388930224817,0.000647479432684932,0.0275900354094884,96.6,0.449117609681498,0.558785626613889,0.483923979968447,0.520424600896963,0.529109834090263,0.554601264546206,0.0187630243636073,37,0.505510135729433,0.579656028523625,0.528998080089494,0.554358809190138,0.0254914304559428,0.025360729100644,0.0334189911431187,0.0365006209285161
0.268236431379159,0.502798889635372,0.539595102253101,0.5,0.0253118957037788,0.0191755953220598,0.00279888963537211,0.0395951022531011,0.00193317470023275,0.000647237917328523,0.0274448627870813,95.9,0.449570815815348,0.558609502989655,0.484337774640068,0.520575585336709,0.526635092431097,0.552289074033901,0.0188126340074477,42.6,0.503060443210595,0.577401487900123,0.526600655691074,0.552026108784335,0.0256539816028036,0.0254254530932614,0.0335195257895907,0.0362378106966408
0.301645238807128,0.503099012385742,0.53714699447161,0.5,0.0254854441839016,0.0192330087113906,0.00309901238574206,0.03714699447161,0.00174769022351864,0.000657804430721775,0.0274822108745275,95.9,0.449831944262719,0.558970807146746,0.484536461976295,0.520916774426807,0.52419268203613,0.549828220344795,0.0188641841857035,48.6,0.500518261283274,0.57506614015081,0.524119605752328,0.549616225725894,0.0256355383086648,0.025496619973566,0.0336289086516165,0.0363803124505118
0.335054046235096,0.50319438774721,0.534603544023651,0.5,0.0258752560694141,0.01928294358189,0.00319438774721004,0.0346035440236513,0.00156729804222372,0.000678385075784834,0.0276885733886524,95.4,0.449874216748729,0.559732858680595,0.48463398618862,0.521278202574481,0.521670444273129,0.547317396123254,0.0189176210817044,54.4,0.497894533756118,0.572642463784194,0.521545010120852,0.547105896255802,0.0256469518501253,0.0255608861349502,0.0349647951584076,0.0366442163858609
