"","Kernel","Cox"
"bias","0.263","-0.074"
"MSE","83.729","0.082"
"SE","2.486","0.212"
"ABSE","0.583","0.247"
"ACI.coverage","93.708","78.041"
"EMP.IQR","0.427","0.220"
"Boot.IQR","0.561","0.257"
