"","Kernel","Cox"
"bias","1126.161","-0.185"
"MSE","62730167856.731","0.081"
"SE","35089.884","0.069"
"ABSE","0.395","0.073"
"ACI.coverage","89.198","35.767"
"EMP.IQR","0.312","0.088"
"Boot.IQR","0.396","0.092"
