"","Kernel","Cox"
"bias","0.013","0.007"
"MSE","0.108","0.003"
"SE","0.125","0.043"
"ABSE","0.101","0.044"
"ACI.coverage","96.075","87.700"
"EMP.IQR","0.108","0.056"
"Boot.IQR","0.122","0.058"
