"","Kernel","Cox"
"bias","0.024","-0.096"
"MSE","0.145","0.032"
"SE","0.142","0.028"
"ABSE","0.120","0.028"
"ACI.coverage","96.333","19.292"
"EMP.IQR","0.123","0.040"
"Boot.IQR","0.135","0.038"
