"","Kernel","Cox"
"bias","0.037","-0.057"
"MSE","0.473","0.038"
"SE","0.594","0.098"
"ABSE","0.267","0.098"
"ACI.coverage","95.139","63.335"
"EMP.IQR","0.229","0.125"
"Boot.IQR","0.282","0.127"
