"parameter","value"
"lamdas","1"
"gammas","1.5"
"n","500"
"theta","0.857142857142857"
"fixed.treatment.effect","0"
"rate.C","0.27"
"p.a","0.5"
"n_simulate","1000"
"b.cor","b"
"n.est.grid","51"
"cen.per","0.202504"
"confounder","no"
"m.x","0"
"sd.x","1"
"beta.x","3"
"tau","0.3"
"parallel","yes"
"ncpus","8"
"emirical.min.time","0.00197936042012818"
