"","Kernel","Cox"
"bias","0.029","0.020"
"MSE","0.153","0.016"
"SE","0.200","0.089"
"ABSE","0.185","0.087"
"ACI.coverage","95.194","77.786"
"EMP.IQR","0.188","0.115"
"Boot.IQR","0.212","0.115"
