"","time","Statistics","value","Type","log_value"
"1",0.000718177260787193,"mean.HR",0.524607826665079,"Kernel",-0.645104292360086
"2",0.0302734720935817,"mean.HR",0.514391945293261,"Kernel",-0.664769764631436
"3",0.0598287669263763,"mean.HR",0.512308553917678,"Kernel",-0.668828191089361
"4",0.0893840617591708,"mean.HR",0.511397352971767,"Kernel",-0.670608392181138
"5",0.118939356591965,"mean.HR",0.510864726161986,"Kernel",-0.671650447577402
"6",0.14849465142476,"mean.HR",0.510587709024356,"Kernel",-0.672192846097156
"7",0.178049946257554,"mean.HR",0.510544582327365,"Kernel",-0.672277314480697
"8",0.207605241090349,"mean.HR",0.510586188524969,"Kernel",-0.672195824041246
"9",0.237160535923143,"mean.HR",0.510647724754736,"Kernel",-0.672075310554491
"10",0.266715830755938,"mean.HR",0.510762371060888,"Kernel",-0.671850824215256
"11",0.296271125588733,"mean.HR",0.510944184995052,"Kernel",-0.671494921759691
"12",0.325826420421527,"mean.HR",0.51113246283589,"Kernel",-0.671126499600029
"13",0.355381715254322,"mean.HR",0.511233537497053,"Kernel",-0.670928772638335
"14",0.384937010087116,"mean.HR",0.511239396416496,"Kernel",-0.670917312345844
"15",0.414492304919911,"mean.HR",0.511122123911257,"Kernel",-0.671146727290405
"16",0.444047599752705,"mean.HR",0.510981130386734,"Kernel",-0.671422616296382
"17",0.4736028945855,"mean.HR",0.510906769274795,"Kernel",-0.671568153027163
"18",0.503158189418294,"mean.HR",0.511029328087735,"Kernel",-0.671328296907305
"19",0.532713484251089,"mean.HR",0.511298622130775,"Kernel",-0.67080147173499
"20",0.562268779083883,"mean.HR",0.511585123590655,"Kernel",-0.670241287904577
"21",0.591824073916678,"mean.HR",0.511947131786913,"Kernel",-0.669533917502812
"22",0.621379368749472,"mean.HR",0.512300376909634,"Kernel",-0.668844152316709
"23",0.650934663582267,"mean.HR",0.512527606767651,"Kernel",-0.668400702556631
"24",0.680489958415062,"mean.HR",0.512711135094204,"Kernel",-0.668042681890773
"25",0.710045253247856,"mean.HR",0.512738928346555,"Kernel",-0.667988474955986
"26",0.739600548080651,"mean.HR",0.512787171610873,"Kernel",-0.667894390048043
"27",0.769155842913445,"mean.HR",0.512876617641528,"Kernel",-0.667719974158901
"28",0.79871113774624,"mean.HR",0.513021620344876,"Kernel",-0.667437289777654
"29",0.828266432579034,"mean.HR",0.512801570217823,"Kernel",-0.667866311333128
"30",0.857821727411829,"mean.HR",0.512462826204653,"Kernel",-0.668527104835133
"31",0.887377022244623,"mean.HR",0.512198112041575,"Kernel",-0.669043791202469
"32",0.916932317077418,"mean.HR",0.512337471333795,"Kernel",-0.668771747370433
"33",0.946487611910212,"mean.HR",0.512291181149155,"Kernel",-0.668862102416739
"34",0.976042906743007,"mean.HR",0.513033002663877,"Kernel",-0.667415103202503
"35",1.0055982015758,"mean.HR",0.513981287157444,"Kernel",-0.665568420498172
"36",1.0351534964086,"mean.HR",0.51465947290829,"Kernel",-0.664249814673011
"37",1.06470879124139,"mean.HR",0.515624936395071,"Kernel",-0.662375645248213
"38",1.09426408607419,"mean.HR",0.516976465589694,"Kernel",-0.659757926612931
"39",1.12381938090698,"mean.HR",0.518443158437444,"Kernel",-0.656924884250773
"40",1.15337467573977,"mean.HR",0.520217498387292,"Kernel",-0.65350828872615
"41",1.18292997057257,"mean.HR",0.522664035139081,"Kernel",-0.648816401563
"42",1.21248526540536,"mean.HR",0.525773276281293,"Kernel",-0.642885192851904
"43",1.24204056023816,"mean.HR",0.530037003679779,"Kernel",-0.634808456609417
"44",1.27159585507095,"mean.HR",0.536026931672229,"Kernel",-0.623570873516462
"45",1.30115114990375,"mean.HR",0.544221252731572,"Kernel",-0.608399400232054
"46",1.33070644473654,"mean.HR",0.554547590177472,"Kernel",-0.589602650486817
"47",1.36026173956934,"mean.HR",0.56827017474949,"Kernel",-0.565158313581005
"48",1.38981703440213,"mean.HR",0.586600797497762,"Kernel",-0.533410762914034
"49",1.41937232923492,"mean.HR",0.612619166907037,"Kernel",-0.490011797271679
"50",1.44892762406772,"mean.HR",0.656676003244354,"Kernel",-0.420564527880679
"51",1.47848291890051,"mean.HR",0.821581493040436,"Kernel",-0.196524146132159
"52",0.000718177260787193,"median.HR",0.495592756601395,"Kernel",-0.702000744746799
"53",0.0302734720935817,"median.HR",0.491840751001336,"Kernel",-0.709600291711031
"54",0.0598287669263763,"median.HR",0.494586098797032,"Kernel",-0.704034030239999
"55",0.0893840617591708,"median.HR",0.498034567186619,"Kernel",-0.697085792345063
"56",0.118939356591965,"median.HR",0.501100602181627,"Kernel",-0.690948395297709
"57",0.14849465142476,"median.HR",0.502200718593153,"Kernel",-0.688755401369288
"58",0.178049946257554,"median.HR",0.502415425296774,"Kernel",-0.688327961081382
"59",0.207605241090349,"median.HR",0.501979626711615,"Kernel",-0.689195744353781
"60",0.237160535923143,"median.HR",0.5016403772122,"Kernel",-0.689871796068594
"61",0.266715830755938,"median.HR",0.500853731888904,"Kernel",-0.691441172841205
"62",0.296271125588733,"median.HR",0.501068941607735,"Kernel",-0.691011579364914
"63",0.325826420421527,"median.HR",0.501149088328617,"Kernel",-0.690851640671617
"64",0.355381715254322,"median.HR",0.50311742266016,"Kernel",-0.686931691473956
"65",0.384937010087116,"median.HR",0.505022341679314,"Kernel",-0.683152609736243
"66",0.414492304919911,"median.HR",0.50587713714598,"Kernel",-0.681461451142736
"67",0.444047599752705,"median.HR",0.505189792938842,"Kernel",-0.682821092710614
"68",0.4736028945855,"median.HR",0.504560810511387,"Kernel",-0.684066910255375
