"parameter","value"
"lamdas","1"
"gammas","1.5"
"n","5000"
"theta","0.222222222222222"
"fixed.treatment.effect","0"
"rate.C","0.34"
"p.a","0.5"
"n_simulate","1000"
"b.cor","b"
"n.est.grid","51"
"cen.per","0.2019088"
"confounder","no"
"m.x","0"
"sd.x","1"
"beta.x","3"
"tau","0.1"
"parallel","yes"
"ncpus","8"
"emirical.min.time","0.000183017507357407"
