"","Kernel","Cox"
"bias","0.019","0.011"
"MSE","0.026","0.005"
"SE","0.130","0.062"
"ABSE","0.143","0.062"
"ACI.coverage","95.518","91.241"
"EMP.IQR","0.156","0.084"
"Boot.IQR","0.169","0.083"
