"","Kernel","Cox"
"bias","0.209","0.040"
"MSE","32.980","0.151"
"SE","1.842","0.345"
"ABSE","0.638","0.400"
"ACI.coverage","94.402","84.900"
"EMP.IQR","0.452","0.312"
"Boot.IQR","0.615","0.402"
