"parameter","value"
"lamdas","1"
"gammas","1.5"
"n","500"
"theta","4.66666666666667"
"fixed.treatment.effect","0"
"rate.C","0.099"
"p.a","0.5"
"n_simulate","1000"
"b.cor","b"
"n.est.grid","51"
"cen.per","0.205036"
"confounder","no"
"m.x","0"
"sd.x","1"
"beta.x","3"
"tau","0.7"
"parallel","yes"
"ncpus","8"
"emirical.min.time","0.00242244867825821"
