"","Kernel","Cox"
"bias","0.030","-0.021"
"MSE","0.047","0.018"
"SE","0.147","0.066"
"ABSE","0.157","0.063"
"ACI.coverage","95.382","60.539"
"EMP.IQR","0.167","0.088"
"Boot.IQR","0.182","0.084"
