"time","mean.HR","SE.HR","median.HR","X0.","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90.","X100.","X0..1","X25.","X50..1","X75.","X100..1","X2.5.","X7.5.","true.hr"
0,0.824745007862782,0.0321980574710148,0.824253700157779,0.725100261865308,0.785229428775453,0.797647880502952,0.807562442970709,0.815905066845197,0.824253700157779,0.831885007643249,0.840026872245922,0.851075103519172,0.865853574926498,0.925730259566463,0.725100261865308,0.802069721120272,0.824253700157779,0.845850593477529,0.925730259566463,0.763040021906508,0.781670221893128,0.5
0.2,0.701477514043991,0.0502390935995633,0.699770240900274,0.55992095682137,0.639835120424983,0.659215895657068,0.674157791001651,0.687793042385847,0.699770240900274,0.712771464803832,0.725289394814447,0.741763711195197,0.76553302189321,0.866467420810625,0.55992095682137,0.666232741280496,0.699770240900274,0.733357355940688,0.866467420810625,0.607383418690481,0.634503660026245,0.5
0.4,0.663559501980843,0.0549703036409572,0.660988745584139,0.509480807503864,0.596848947897833,0.617665937420831,0.633964911257788,0.647932752931055,0.660988745584139,0.675685427452195,0.68879514442323,0.70721112600594,0.734379924714433,0.846818733383758,0.509480807503864,0.625325818226703,0.660988745584139,0.698064918976029,0.846818733383758,0.562123099380872,0.590345286214133,0.5
0.6,0.639121886994087,0.0579953360246936,0.635906271531477,0.478180979517899,0.56867682153905,0.59051238574941,0.607899328048527,0.622316036147217,0.635906271531477,0.65158940041361,0.666418594063119,0.685097169067306,0.714187300653869,0.833776545477406,0.478180979517899,0.598263729831913,0.635906271531477,0.675996548143218,0.833776545477406,0.533142310712919,0.562463724122067,0.5
0.8,0.621043010100387,0.0600279334178021,0.617748231017317,0.453398285130475,0.548995135505289,0.571034646055625,0.588586171708666,0.603358460167195,0.617748231017317,0.63342269202697,0.647653361986098,0.668102895495201,0.698905856665665,0.823487914021214,0.453398285130475,0.578304916083979,0.617748231017317,0.658756804729954,0.823487914021214,0.510216467149137,0.541243768501499,0.5
1,0.606434019836425,0.0616385022312288,0.603274423117097,0.435243432463529,0.533008407703504,0.555041213826244,0.572939924969047,0.589096735744103,0.603274423117097,0.619630875565555,0.634233235870562,0.653935649736151,0.686745974696165,0.815691317342795,0.435243432463529,0.562743437075652,0.603274423117097,0.645081600205103,0.815691317342795,0.492242252329464,0.525004961204302,0.5
1.2,0.594300586641722,0.0628972583696346,0.590272925327064,0.420669018901365,0.519115152836925,0.542403970979485,0.559405127901478,0.576188859814665,0.590272925327064,0.608024083631528,0.622202169254614,0.642698149397821,0.675198222428808,0.808549535610915,0.420669018901365,0.549784434256774,0.590272925327064,0.633576775519934,0.808549535610915,0.480172362972034,0.511833692794486,0.5
1.4,0.583889463943527,0.0638661767810155,0.580174486746796,0.409070558487962,0.50745349130899,0.530137824070187,0.548336824823467,0.564409939608522,0.580174486746796,0.597334197871654,0.612356728732966,0.633146784215748,0.666718952870053,0.802293268176542,0.409070558487962,0.538171871366324,0.580174486746796,0.623093194536498,0.802293268176542,0.468226255948819,0.500540546478387,0.5
1.6,0.574792991543248,0.064753786917522,0.570825314966192,0.397385734645474,0.497866326212706,0.520514746825879,0.53870609640146,0.55500940939865,0.570825314966192,0.588417911253576,0.60357522870743,0.624635879711931,0.658311087831989,0.796857353085526,0.397385734645474,0.528672045863207,0.570825314966192,0.614919159538754,0.796857353085526,0.457894114431459,0.489935776446514,0.5
1.8,0.566704202749299,0.0654831275700434,0.562437878884427,0.387448021259927,0.488740199322675,0.511484280442196,0.529589893927183,0.546912074513552,0.562437878884427,0.580893323279745,0.595843319822611,0.616861242583652,0.650751467781551,0.793309532202314,0.387448021259927,0.519831241894786,0.562437878884427,0.607400308046329,0.793309532202314,0.449100787647057,0.481538956454053,0.5
2,0.559399960722484,0.0661913998298292,0.554488893983868,0.378229222813981,0.480913157905881,0.503861528961701,0.522254253536427,0.538814147687629,0.554488893983868,0.573625403961271,0.588909262204956,0.610245496176078,0.644464574675096,0.789359894481849,0.378229222813981,0.511859966838034,0.554488893983868,0.600739702003947,0.789359894481849,0.440630329624311,0.47243449075767,0.5
2.2,0.552741505220763,0.0667697105510754,0.548187162243374,0.368346409886893,0.474155110557733,0.496570456743963,0.515920965119964,0.532400744414635,0.548187162243374,0.566907282377052,0.58231494434609,0.603622666833194,0.638899561994243,0.785685224354341,0.368346409886893,0.504961055477408,0.548187162243374,0.594019970252068,0.785685224354341,0.43215993362581,0.464578131903612,0.5
2.4,0.546659160305275,0.0672861627257641,0.542213729669003,0.359571728737857,0.466770725205861,0.490433008215883,0.509756327430249,0.525691818946477,0.542213729669003,0.560529508157775,0.576241443725381,0.597383144839164,0.632781507049042,0.782344245348838,0.359571728737857,0.498696433726087,0.542213729669003,0.588267287753774,0.782344245348838,0.424758011647643,0.457651425191496,0.5
2.6,0.541050650393187,0.0677420754435865,0.536313327510275,0.353510745678674,0.460704280129804,0.483869454935921,0.503535767985407,0.520275432839911,0.536313327510275,0.554689046747998,0.570792524388675,0.592950715841233,0.627894357797752,0.778649981662542,0.353510745678674,0.492859190754386,0.536313327510275,0.582710956135754,0.778649981662542,0.418214293650917,0.451958333968282,0.5
2.8,0.535833378527237,0.0681981876265761,0.530580361127643,0.349744195504825,0.454737812711166,0.478553119326741,0.497985479675775,0.51450759143926,0.530580361127643,0.549754254145098,0.565994293058921,0.588197642813092,0.623433281842096,0.775590029063962,0.349744195504825,0.48773118956551,0.530580361127643,0.578565482505681,0.775590029063962,0.412040089370708,0.445874432657102,0.5
