"","Kernel","Cox"
"bias","0.003","0.001"
"MSE","0.003","0.001"
"SE","0.049","0.026"
"RB","0.553","0.231"
"ABSE","0.055","0.026"
"ACI.coverage","96.171","88.249"
"EMP.IQR","0.062","0.034"
"Boot.IQR","0.068","0.035"
