"","Kernel","Cox"
"bias","-0.013","-0.050"
"MSE","0.015","0.012"
"SE","0.084","0.039"
"RB","-2.612","-9.993"
"ABSE","0.089","0.042"
"ACI.coverage","95.175","49.435"
"EMP.IQR","0.101","0.054"
"Boot.IQR","0.108","0.057"
