"","Kernel","Cox"
"bias","-0.028","-0.062"
"MSE","0.006","0.012"
"SE","0.066","0.035"
"RB","-5.530","-12.458"
"ABSE","0.077","0.042"
"ACI.coverage","82.745","34.902"
"EMP.IQR","0.083","0.035"
"Boot.IQR","0.112","0.062"
