"","Kernel","Cox"
"bias","-0.005","-0.007"
"MSE","0.003","0.007"
"SE","0.034","0.016"
"RB","-1.000","-1.473"
"ABSE","0.035","0.017"
"ACI.coverage","95.592","25.412"
"EMP.IQR","0.039","0.021"
"Boot.IQR","0.042","0.023"
