"","Kernel","Cox"
"bias","0.023","0.017"
"MSE","0.026","0.003"
"SE","0.109","0.053"
"RB","4.562","3.457"
"ABSE","0.109","0.055"
"ACI.coverage","95.586","92.802"
"EMP.IQR","0.115","0.070"
"Boot.IQR","0.130","0.073"
